"Post ID", "Forum","Forum Url","Tags","Tags Url","Poster Name","Poster Url","Number of Posts","Message","Subject","Subject Url","Views","Rating","Date","Time","Price","Sentiment","Disclosure"
"18283616","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","UNV","UNV","geffa9","http://hotcopper.com.au/search/search?type=post&users=geffa9","1770","Bunch of morons - what a waste of time! I'm assuming there may be action for this if someone can be bothered.  When will our shares be unlocked? Either way both share prices will get hammered next week.","Re: Ann: Update - Coal of Africa Limited OfferCZA-UNV.AX","http://hotcopper.com.au/threads/ann-update-coal-of-africa-limited-offer-cza-unv-ax.2809096/page-112?post_id=18283616","7813","","15/07/16","22:57:14","18.0¢","Buy","Held"
"18283618","International Markets","http://hotcopper.com.au/discussions/international-markets/","DJPIN","DJPIN","Seventoe","http://hotcopper.com.au/search/search?type=post&users=Seventoe","663","No Wukin Fay. Onwards and upwardsPlus + 122.36Thanks lok and longPhil Micklesen flop shot legend.Keep it together Phil we are all rooting for you here Down UnderEven par today is OK.  A nice lead into the weekend for the Money Shot.","Re: Fantastic Friday July 15","http://hotcopper.com.au/threads/fantastic-friday-july-15.2813108/page-32?post_id=18283618","801","4","15/07/16","22:58:09","","",""
"18283617","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","FAR","FAR","Oddoneout","http://hotcopper.com.au/search/search?type=post&users=Oddoneout","1075","Nett outtake is negative. Malcy formerly thought he was embarrassingly undershooting with a 30-cent valuation; now it's maybe 25.Sorry to call a spade a spade.OOO","Re: Malcy on FAR/CNE","http://hotcopper.com.au/threads/malcy-on-far-cne.2813215/page-7?post_id=18283617","2180","4","15/07/16","22:57:58","7.7¢","Hold","Held"
"18283619","General","http://hotcopper.com.au/discussions/general/","Automobiles","Automobiles","Hanrahan","http://hotcopper.com.au/search/search?type=post&users=Hanrahan","42716","I own one and while the later model is better mine is nowhere near that.","Re: EV Charging might come to Petrol Stations sooner than u think !!","http://hotcopper.com.au/threads/ev-charging-might-come-to-petrol-stations-sooner-than-u-think.2813373/page-6?post_id=18283619","152","1","15/07/16","22:58:42","","",""
"18283620","International Markets","http://hotcopper.com.au/discussions/international-markets/","DJPIN","DJPIN","nickd","http://hotcopper.com.au/search/search?type=post&users=nickd","464","+37 cheers","Re: Fantastic Friday July 15","http://hotcopper.com.au/threads/fantastic-friday-july-15.2813108/page-33?post_id=18283620","801","6","15/07/16","22:59:03","","",""
"18283526","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","DKO","DKO","timmo","http://hotcopper.com.au/search/search?type=post&users=timmo","809","CXO have not drilled any holes to date on any of their 3 lithium projects maybe you are referring to the rock samples of weathered spodumene.regards timmo","Re: Is it end of Dakota Minerals (ASX: DKO)?","http://hotcopper.com.au/threads/is-it-end-of-dakota-minerals-asx-dko.2813339/page-8?post_id=18283526","1546","","15/07/16","22:34:03","6.7¢","None","Not Held"
"18283507","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","FMS","FMS","Amused observer","http://hotcopper.com.au/search/search?type=post&users=Amused+observer","4941","I have a question for you...Do you have any other questions?","Re: Contact Twiggy ASAP","http://hotcopper.com.au/threads/contact-twiggy-asap.2813162/page-19?post_id=18283507","1460","2","15/07/16","22:26:17","2.5¢","None","Not Held"
"18279383","Sport","http://hotcopper.com.au/discussions/sport/","","","baxtermcfaxter","http://hotcopper.com.au/search/search?type=post&users=baxtermcfaxter","5139","","Re: Port","http://hotcopper.com.au/threads/port.2308031/page-3538?post_id=18279383","201182","","15/07/16","14:03:06","","",""
"18284006","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","PEN","PEN","You3OAte","http://hotcopper.com.au/search/search?type=post&users=You3OAte","195","More questions but no answers MG. We are talking about PEN are we not? Justifying your position by asking me to present better opportunities just reveals your weak hand. I can't give you a better U investment on ASX but that's coz they are all shite.Don't excuse PEN management's tardiness with respect to missing timelines by saying it's the norm. Another cop out. The average punter who intends to invest with PEN does not want to hear  hey we miss all our announced deadlines but that's ok coz all other ASX companies do . Dodgy plumbing syndrome again.As far as having an  absolute mind set as to deliver  well of course I do. Why else would people invest in a company?  I pay money you deliver.  Simple. How do you do it?  I pay my money you deliver when it's convenient for you ? Sorry I don't subscibe to that investment philosophy coz I'm not an idiot.I'm not sure whether I  should be happy or sad for you and Gav that you have so much skin in the game. But it does give me clues as to why you are so biligerently optimistic and unjustifiably biased considering past history. I genuinely wish you good fortune. You ask why I think you and Gav are all in? If I answered that I would be moderated for profanity.Finally I agree that you post good information it's your interpretation and opinion that is unashamedly biased. But hey that's HC for you - positive please negative go away. What's that called? A proton bubble?Good luck mate. You deserve it dare I say need it.","Re: Rick Rule Ramp","http://hotcopper.com.au/threads/rick-rule-ramp.2811037/page-57?post_id=18284006","9248","","16/07/16","02:11:18","73.0¢","Hold","Not Held"
"18283996","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","SLX","SLX","toby10","http://hotcopper.com.au/search/search?type=post&users=toby10","392","Date: Jul 12 2016Location: Oak Ridge TN US*176191- Position Title: Project Procedure Specialist UPF (176191)- Project: Uranium Processing Facility- Location: Oak Ridge TN- Relocation Authorized: None- US Citizenship Required: Yes- Badging: Must be able to obtain badging- Other Requirements: Must be able to complete and pass a pre-employment drug screen and background check which includes verification of employment education and travel.Project Description:Bechtel National Inc. (BNI) Bechtel’s government services business is one of the top providers to departments and agencies of the U.S. and British governments. Its successes include many large first-of-a-kind projects in government site management environmental restoration defense space energy and national and homeland security. This position will provide support to the Uranium Processing Facility (UPF) located at the Y-12 National Security Complex in Oak Ridge Tennessee.UPF will be will be built by 2025 for $6.5 billion and will be a first-of-its-kind complex for enriched uranium operations in support of Y-12 missions. UPF is one of the Department of Energy’s largest investments in Tennessee since the Manhattan Project and one of the National Nuclear Security Administration’s largest construction projects. When complete UPF will: replace a 70-year-old facility with modern buildings reduce operational costs and energy consumption improve worker safety and provided enriched uranium capabilities well into the future.The UPF project works on s a 9-80 schedule with every other Friday off. Start times are flexible but the standard work week is: Monday - Thursday from 7:00 am to 4:30 pm. The schedule on working Fridays is: 7:00am-3:30 pm.Eligibility for this position requires US citizenship; successful candidate must provide proof of US citizenship in order to obtain badge access to the site. Candidate must complete security questionnaire and successfully clear site access requirements check. All employees are subject and agree to random drug and alcohol testing as a condition of employment. Must be able to obtain a security clearance as applicable.Role Overview:The Project Procedure Specialist will support the UPF Project (primarily the Project Procedure Coordinator and UPF functional coordinators) in implementation and control of the UPF Project Procedural System. Support compliance of procedure set with applicable DOE Orders Nuclear Quality Standards and UPF quality requirements including but not limited to DOE O 414.1D NQA-1 and DOE STD 1073.Responsibilities include but are not limited to the following:- Form and document development and maintenance- Administrative support for correspondence/communications- Maintenance of Project repository for procedures (web and InfoWorks)- Identifying risks and improvements to processes- Initiate procedure change impact reviews and track to completion- Editing coordinating reviews of and issuing procedures- Provide support to and assist the Project Procedure Coordinator in maintaining compliant consistent user-focused nuclear project procedures- Provide technical editing assistance to the Quality organizationThis position reports to the UPF Project Procedure Coordinator.Basic Qualifications:- Must possess a BS/BA degree from an accredited university with at least 3 years of related experience or in lieu of a degree have more than 9 years of professional related work experience- Must be a US citizen- Must be able to complete and pass a pre-employment drug screen and background check which includes verification of employment and education- Must be able to obtain site security badge for access to work siteMinimum Qualifications:- Excellent oral and written communication skills- Database form development and Microsoft Office software including Word Excel Outlook and PowerPoint proficiency- Proficiency with standard document formatting/editing/production software including electronic comment incorporation- Ability to manage a fast pace of work and prioritize tasks- High degree of accountability and ownership- Ability to effectively partner with functional organizations- Understanding of the quality rigor required for nuclear projectsPreferred Qualifications:- Experience with managing flow down of requirements into procedures- Experience in procedure set management for EPC and/or nuclear programs- Professional customer service skills- Thorough knowledge of grammatical rules spelling composition and style- Knowledge of Six Sigma and / or Lean and applied experience to programmatic document strategies / improvements- Knowledge of Bechtel’s organization policies procedures documentation and record-keeping requirementsShaping tomorrow togetherBechtel is among the most respected engineering project management and construction companies in the world. We stand apart for our ability to get the job done right—no matter how big how complex or how remote. Bechtel operates through four global business units that specialize in infrastructure; mining and metals; nuclear security and environmental; and oil gas and chemicals. Since its founding in 1898 Bechtel has worked on more than 25000 projects in 160 countries on all seven continents. Today our 53000 colleagues team with customers partners and suppliers on diverse projects in nearly 40 countries.An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race color religion sex sexual origin gender identitynational origin or protected veteran status and will not be discriminated against on the basis of disability.KnoxvilleEngineer Lean Six Sigma Security Clearance Administrative Assistant Database Engineering Management Government Administrative Technology","Sounds promising","http://hotcopper.com.au/threads/sounds-promising.2813532/?post_id=18283996","16","","16/07/16","02:00:29","29.5¢","Buy","Held"
